Text Inputs : Specimen label,"G2NC_0.5"
Test : Rate 1,"15.77685",mm/min
Dimension : Support span,"50.00000",mm
Dimension : Thickness,"2.64100",mm
Dimension : Width,"13.37000",mm

Time,Extension,Load
(sec),(mm),(N)
"24.50000","-6.44234","-115.09416"
"24.55000","-6.45531","-115.26384"
"24.60000","-6.46844","-115.43409"
"24.65000","-6.48156","-115.60508"
"24.70000","-6.49469","-115.76775"
"24.75000","-6.50812","-115.98407"
"24.80000","-6.52094","-116.15036"
"24.85000","-6.53438","-116.33038"
"24.90000","-6.54734","-116.51429"
"24.95000","-6.56031","-116.68474"
"25.00000","-6.57391","-116.90759"
"25.05000","-6.58672","-117.06421"
"25.10000","-6.60000","-117.23384"
"25.15000","-6.61328","-117.42083"
"25.20000","-6.62609","-117.60759"
"25.25000","-6.63937","-117.76287"
"25.30000","-6.65250","-117.89835"
"25.35000","-6.66563","-118.04286"
"25.40000","-6.67906","-118.18085"
"25.45000","-6.69187","-118.30137"
"25.50000","-6.70500","-118.39177"
"25.55000","-6.71828","-118.55108"
"25.60000","-6.73125","-118.66482"
"25.65000","-6.74469","-118.82319"
"25.70000","-6.75766","-118.95336"
"25.75000","-6.77078","-119.13470"
"25.80000","-6.78406","-119.27589"
"25.85000","-6.79688","-119.41711"
"25.90000","-6.81047","-119.55212"
"25.95000","-6.82359","-119.71678"
"26.00000","-6.83672","-119.85805"
"26.05000","-6.85000","-119.98514"
"26.10000","-6.86281","-120.15902"
"26.15000","-6.87594","-120.28620"
"26.20000","-6.88937","-120.42223"
"26.25000","-6.90219","-120.61175"
"26.30000","-6.91563","-120.74498"
"26.35000","-6.92875","-120.90939"
"26.40000","-6.94141","-121.05869"
"26.45000","-6.95516","-121.22348"
"26.50000","-6.96797","-121.39280"
"26.55000","-6.98125","-121.52855"
"26.60000","-6.99469","-121.72719"
"26.65000","-7.00750","-121.83058"
"26.70000","-7.02078","-121.98114"
"26.75000","-7.03375","-122.15684"
"26.80000","-7.04688","-122.31613"
"26.85000","-7.06016","-122.47342"
"26.90000","-7.07312","-122.66709"
"26.95000","-7.08625","-122.79913"
"27.00000","-7.09953","-122.99898"
"27.05000","-7.11234","-123.12497"
"27.10000","-7.12656","-81.64929"
"27.15000","-7.13953","6.82279"
"27.20000","-7.15234","2.03831"
"27.25000","-7.16563","1.71738"
"27.30000","-7.17828","1.81638"
"27.35000","-7.19172","1.81572"
"27.40000","-7.20484","1.85901"
"27.45000","-7.21781","1.81301"
"27.50000","-7.23109","1.81819"
"27.55000","-7.24406","1.82787"
