Text Inputs : Specimen label,"G2CF_DRY"
Test : Rate 1,"0.70000",mm/min
Dimension : Support span,"25.60000",mm
Dimension : Thickness,"1.60200",mm
Dimension : Width,"13.37000",mm

Time,Extension,Load
(sec),(mm),(N)
"18.80000","-0.21937","-68.62926"
"18.85000","-0.22000","-68.77297"
"18.90000","-0.22047","-68.97354"
"18.95000","-0.22109","-69.12474"
"19.00000","-0.22172","-69.32435"
"19.05000","-0.22219","-69.47445"
"19.10000","-0.22281","-69.63368"
"19.15000","-0.22328","-69.80402"
"19.20000","-0.22391","-70.02600"
"19.25000","-0.22453","-70.19087"
"19.30000","-0.22516","-70.41406"
"19.35000","-0.22578","-70.65233"
"19.40000","-0.22641","-70.79441"
"19.45000","-0.22703","-70.96429"
"19.50000","-0.22766","-71.18013"
"19.55000","-0.22828","-71.37323"
"19.60000","-0.22891","-71.56645"
"19.65000","-0.22938","-71.75805"
"19.70000","-0.23000","-71.92048"
"19.75000","-0.23062","-72.10030"
"19.80000","-0.23125","-72.30215"
"19.85000","-0.23172","-72.47287"
"19.90000","-0.23234","-72.65849"
"19.95000","-0.23297","-72.81493"
"20.00000","-0.23344","-72.98957"
"20.05000","-0.23406","-73.20900"
"20.10000","-0.23469","-73.40185"
"20.15000","-0.23531","-73.58012"
"20.20000","-0.23578","-73.73322"
"20.25000","-0.23641","-73.95118"
"20.30000","-0.23703","-74.12162"
"20.35000","-0.23766","-74.30620"
"20.40000","-0.23812","-74.45178"
"20.45000","-0.23875","-74.64030"
"20.50000","-0.23922","-74.83138"
"20.55000","-0.23984","-75.05078"
"20.60000","-0.24047","-75.19553"
"20.65000","-0.24109","-75.39582"
"20.70000","-0.24172","-75.60713"
"20.75000","-0.24234","-75.79226"
"20.80000","-0.24281","-75.97158"
"20.85000","-0.24344","-76.15140"
"20.90000","-0.24406","-76.31830"
"20.95000","-0.24453","-76.51967"
"21.00000","-0.24516","-76.69649"
"21.05000","-0.24563","-76.85264"
"21.10000","-0.24609","-76.99569"
"21.15000","-0.24672","-77.18725"
"21.20000","-0.24719","-77.36139"
"21.25000","-0.24781","-77.53533"
"21.30000","-0.24844","-77.69502"
"21.35000","-0.24906","-77.88584"
"21.40000","-0.24969","-78.11834"
"21.45000","-0.25016","-78.27747"
"21.50000","-0.25078","-78.45233"
"21.55000","-0.25125","-78.68077"
"21.60000","-0.25187","-78.81910"
"21.65000","-0.25250","-78.98158"
"21.70000","-0.25313","-79.20072"
"21.75000","-0.25375","-79.41757"
"21.80000","-0.25438","-79.62431"
"21.85000","-0.25500","-79.78975"
"21.90000","-0.25547","-79.99334"
"21.95000","-0.25609","-80.18953"
"22.00000","-0.25672","-80.37792"
"22.05000","-0.25734","-80.51897"
"22.10000","-0.25797","-80.74412"
"22.15000","-0.25844","-80.94767"
"22.20000","-0.25906","-81.12866"
"22.25000","-0.25969","-81.27794"
"22.30000","-0.26031","-81.50098"
"22.35000","-0.26078","-81.66490"
"22.40000","-0.26141","-81.88047"
"22.45000","-0.26203","-82.02665"
"22.50000","-0.26266","-82.23500"
"22.55000","-0.26312","-82.44066"
"22.60000","-0.26375","-82.57583"
"22.65000","-0.26438","-82.76757"
"22.70000","-0.26500","-82.96166"
"22.75000","-0.26563","-83.13430"
"22.80000","-0.26609","-83.30142"
"22.85000","-0.26672","-83.50147"
"22.90000","-0.26734","-83.68820"
"22.95000","-0.26797","-83.84220"
"23.00000","-0.26844","-84.06110"
"23.05000","-0.26906","-84.24439"
"23.10000","-0.26969","-84.42919"
"23.15000","-0.27031","-84.58595"
"23.20000","-0.27094","-84.84324"
"23.25000","-0.27141","-84.98217"
"23.30000","-0.27203","-85.15418"
"23.35000","-0.27266","-85.34716"
"23.40000","-0.27328","-85.56277"
"23.45000","-0.27375","-85.70734"
"23.50000","-0.27437","-85.85588"
"23.55000","-0.27500","-86.13356"
"23.60000","-0.27547","-86.29474"
"23.65000","-0.27594","-86.40533"
"23.70000","-0.27656","-86.57007"
"23.75000","-0.27719","-86.77361"
"23.80000","-0.27781","-87.00400"
"23.85000","-0.27844","-87.18454"
"23.90000","-0.27906","-87.36706"
"23.95000","-0.27953","-87.59967"
"24.00000","-0.28016","-87.73964"
"24.05000","-0.28063","-87.87001"
"24.10000","-0.28125","-88.05025"
"24.15000","-0.28172","-88.26536"
"24.20000","-0.28234","-88.42936"
"24.25000","-0.28281","-88.56490"
"24.30000","-0.28344","-88.76794"
"24.35000","-0.28406","-88.92464"
"24.40000","-0.28453","-89.12110"
"24.45000","-0.28516","-89.32289"
"24.50000","-0.28578","-89.50657"
"24.55000","-0.28641","-89.76070"
"24.60000","-0.28688","-89.88626"
"24.65000","-0.28750","-90.10067"
"24.70000","-0.28813","-90.26634"
"24.75000","-0.28875","-90.46784"
"24.80000","-0.28938","-90.64170"
"24.85000","-0.28984","-90.85243"
"24.90000","-0.29047","-91.01911"
"24.95000","-0.29109","-91.20885"
"25.00000","-0.29172","-91.42676"
"25.05000","-0.29219","-91.54806"
"25.10000","-0.29281","-91.77910"
"25.15000","-0.29344","-91.98375"
"25.20000","-0.29406","-92.13457"
"25.25000","-0.29469","-92.32224"
"25.30000","-0.29531","-92.56840"
"25.35000","-0.29578","-92.76207"
"25.40000","-0.29641","-92.92839"
"25.45000","-0.29703","-93.09632"
"25.50000","-0.29766","-93.32984"
"25.55000","-0.29812","-93.49640"
"25.60000","-0.29875","-93.63378"
"25.65000","-0.29938","-93.82490"
"25.70000","-0.30000","-94.03321"
"25.75000","-0.30063","-94.20018"
"25.80000","-0.30109","-94.40760"
"25.85000","-0.30172","-94.58946"
"25.90000","-0.30234","-94.80041"
"25.95000","-0.30297","-95.00022"
"26.00000","-0.30359","-95.14875"
"26.05000","-0.30406","-95.32161"
"26.10000","-0.30469","-95.47007"
"26.15000","-0.30516","-95.67263"
"26.20000","-0.30578","-95.83253"
"26.25000","-0.30625","-96.04235"
"26.30000","-0.30688","-96.23829"
"26.35000","-0.30750","-96.43805"
"26.40000","-0.30813","-96.66582"
"26.45000","-0.30875","-96.78518"
"26.50000","-0.30937","-97.00115"
"26.55000","-0.31000","-97.19457"
"26.60000","-0.31047","-97.34169"
"26.65000","-0.31109","-97.47921"
"26.70000","-0.31156","-97.69797"
"26.75000","-0.31219","-97.87618"
"26.80000","-0.31281","-98.06373"
"26.85000","-0.31328","-98.24206"
"26.90000","-0.31391","-98.44226"
"26.95000","-0.31453","-98.64699"
"27.00000","-0.31516","-98.78532"
"27.05000","-0.31563","-98.93999"
"27.10000","-0.31625","-99.14759"
"27.15000","-0.31687","-99.36989"
"27.20000","-0.31734","-99.54823"
"27.25000","-0.31797","-99.65483"
"27.30000","-0.31844","-99.85629"
"27.35000","-0.31906","-100.06669"
"27.40000","-0.31969","-100.25037"
"27.45000","-0.32016","-100.38680"
"27.50000","-0.32078","-100.56565"
"27.55000","-0.32125","-100.79730"
"27.60000","-0.32188","-100.92364"
"27.65000","-0.32250","-101.12086"
"27.70000","-0.32313","-101.31863"
"27.75000","-0.32375","-101.53414"
"27.80000","-0.32437","-101.71852"
"27.85000","-0.32484","-101.88486"
"27.90000","-0.32547","-102.07414"
"27.95000","-0.32609","-102.26704"
"28.00000","-0.32656","-102.46425"
"28.05000","-0.32719","-102.59533"
"28.10000","-0.32781","-102.78482"
"28.15000","-0.32828","-102.95144"
"28.20000","-0.32891","-103.15013"
"28.25000","-0.32953","-103.35701"
"28.30000","-0.33016","-103.57451"
"28.35000","-0.33078","-103.76088"
"28.40000","-0.33141","-103.97235"
"28.45000","-0.33203","-104.12419"
"28.50000","-0.33250","-104.32430"
"28.55000","-0.33313","-104.55686"
"28.60000","-0.33375","-104.69649"
"28.65000","-0.33438","-104.87842"
"28.70000","-0.33484","-105.07786"
"28.75000","-0.33547","-105.22614"
"28.80000","-0.33594","-105.41270"
"28.85000","-0.33656","-105.58765"
"28.90000","-0.33719","-105.80525"
"28.95000","-0.33781","-105.95748"
"29.00000","-0.33844","-106.20304"
"29.05000","-0.33906","-106.34872"
"29.10000","-0.33969","-106.56421"
"29.15000","-0.34031","-106.76590"
"29.20000","-0.34078","-106.91676"
"29.25000","-0.34141","-107.08981"
"29.30000","-0.34188","-107.29414"
"29.35000","-0.34250","-107.47056"
"29.40000","-0.34312","-107.65743"
"29.45000","-0.34375","-107.83902"
"29.50000","-0.34438","-108.02457"
"29.55000","-0.34500","-108.28565"
"29.60000","-0.34563","-108.42810"
"29.65000","-0.34609","-108.60799"
"29.70000","-0.34672","-108.75312"
"29.75000","-0.34734","-108.98270"
"29.80000","-0.34781","-109.15032"
"29.85000","-0.34844","-109.31912"
"29.90000","-0.34906","-109.49362"
"29.95000","-0.34953","-109.68228"
"30.00000","-0.35016","-109.87625"
"30.05000","-0.35062","-110.05129"
"30.10000","-0.35125","-110.22280"
"30.15000","-0.35172","-110.41498"
"30.20000","-0.35234","-110.58514"
"30.25000","-0.35281","-110.74053"
"30.30000","-0.35344","-110.97148"
"30.35000","-0.35406","-111.09076"
"30.40000","-0.35453","-111.31916"
"30.45000","-0.35516","-111.46952"
"30.50000","-0.35578","-111.67339"
"30.55000","-0.35641","-111.89587"
"30.60000","-0.35688","-112.01696"
"30.65000","-0.35750","-112.22854"
"30.70000","-0.35812","-112.41251"
"30.75000","-0.35875","-112.61479"
"30.80000","-0.35922","-112.79784"
"30.85000","-0.35984","-112.99088"
"30.90000","-0.36047","-113.23312"
"30.95000","-0.36109","-113.39497"
"31.00000","-0.36172","-113.58582"
"31.05000","-0.36219","-113.78134"
"31.10000","-0.36281","-113.93067"
"31.15000","-0.36344","-114.10937"
"31.20000","-0.36406","-114.31061"
"31.25000","-0.36453","-114.52935"
"31.30000","-0.36500","-114.65024"
"31.35000","-0.36563","-114.80520"
"31.40000","-0.36625","-114.99754"
"31.45000","-0.36687","-115.25874"
"31.50000","-0.36750","-115.45531"
"31.55000","-0.36813","-115.67113"
"31.60000","-0.36875","-115.82660"
"31.65000","-0.36938","-116.06011"
"31.70000","-0.37000","-116.21826"
"31.75000","-0.37062","-116.39962"
"31.80000","-0.37109","-116.59769"
"31.85000","-0.37172","-116.75186"
"31.90000","-0.37234","-116.97580"
"31.95000","-0.37281","-117.11010"
"32.00000","-0.37344","-117.32331"
"32.05000","-0.37406","-117.53633"
"32.10000","-0.37469","-117.67643"
"32.15000","-0.37531","-117.88948"
"32.20000","-0.37594","-118.07798"
"32.25000","-0.37641","-118.30864"
"32.30000","-0.37703","-118.45622"
"32.35000","-0.37766","-118.65798"
"32.40000","-0.37812","-118.81828"
"32.45000","-0.37875","-118.97162"
"32.50000","-0.37938","-119.16099"
"32.55000","-0.37984","-119.39973"
"32.60000","-0.38047","-119.55472"
"32.65000","-0.38109","-119.73696"
"32.70000","-0.38172","-119.90004"
"32.75000","-0.38219","-120.05441"
"32.80000","-0.38281","-120.30455"
"32.85000","-0.38344","-120.47100"
"32.90000","-0.38406","-120.64250"
"32.95000","-0.38453","-120.84362"
"33.00000","-0.38516","-121.00942"
"33.05000","-0.38562","-121.21611"
"33.10000","-0.38625","-121.34905"
"33.15000","-0.38672","-121.54854"
"33.20000","-0.38734","-121.72292"
"33.25000","-0.38781","-121.83880"
"33.30000","-0.38844","-122.03013"
"33.35000","-0.38906","-122.21740"
"33.40000","-0.38953","-122.39302"
"33.45000","-0.39016","-122.60154"
"33.50000","-0.39078","-122.76987"
"33.55000","-0.39141","-123.05029"
"33.60000","-0.39188","-123.19795"
"33.65000","-0.39250","-123.40209"
"33.70000","-0.39312","-123.55642"
"33.75000","-0.39375","-123.74523"
"33.80000","-0.39422","-123.94894"
"33.85000","-0.39469","-124.08381"
"33.90000","-0.39531","-124.30165"
"33.95000","-0.39609","-124.50448"
"34.00000","-0.39672","-124.73851"
"34.05000","-0.39734","-124.97562"
"34.10000","-0.39797","-125.12611"
"34.15000","-0.39844","-125.33505"
"34.20000","-0.39906","-125.56168"
"34.25000","-0.39969","-125.75320"
"34.30000","-0.40031","-125.92356"
"34.35000","-0.40078","-126.08507"
"34.40000","-0.40141","-126.25957"
"34.45000","-0.40188","-126.44887"
"34.50000","-0.40250","-126.64605"
"34.55000","-0.40313","-126.87431"
"34.60000","-0.40375","-127.04246"
"34.65000","-0.40437","-127.24690"
"34.70000","-0.40500","-127.40124"
"34.75000","-0.40563","-127.62752"
"34.80000","-0.40625","-127.81559"
"34.85000","-0.40672","-128.02123"
"34.90000","-0.40734","-128.19953"
"34.95000","-0.40797","-128.42305"
"35.00000","-0.40859","-128.59895"
"35.05000","-0.40906","-128.79953"
"35.10000","-0.40969","-128.91820"
"35.15000","-0.41031","-129.12528"
"35.20000","-0.41078","-129.31630"
"35.25000","-0.41141","-129.49817"
"35.30000","-0.41203","-129.64327"
"35.35000","-0.41266","-129.87654"
"35.40000","-0.41328","-130.09135"
"35.45000","-0.41375","-130.22090"
"35.50000","-0.41438","-130.41670"
