Text Inputs : Specimen label,"G2NE_DRY"
Test : Rate 1,"1.30000",mm/min
Dimension : Support span,"50.00000",mm
Dimension : Thickness,"3.48000",mm
Dimension : Width,"13.81000",mm

Time,Extension,Load
(sec),(mm),(N)
"14.40000","-0.31188","-11.95401"
"14.45000","-0.31297","-12.02028"
"14.50000","-0.31406","-12.05005"
"14.55000","-0.31516","-12.10989"
"14.60000","-0.31609","-12.12499"
"14.65000","-0.31734","-12.18838"
"14.70000","-0.31844","-12.21864"
"14.75000","-0.31969","-12.26836"
"14.80000","-0.32078","-12.33230"
"14.85000","-0.32172","-12.32790"
"14.90000","-0.32281","-12.40037"
"14.95000","-0.32391","-12.42241"
"15.00000","-0.32500","-12.50507"
"15.05000","-0.32625","-12.59077"
"15.10000","-0.32734","-12.57328"
"15.15000","-0.32844","-12.59821"
"15.20000","-0.32953","-12.66037"
"15.25000","-0.33063","-12.69729"
"15.30000","-0.33156","-12.71583"
"15.35000","-0.33281","-12.81830"
"15.40000","-0.33391","-12.82728"
"15.45000","-0.33484","-12.86373"
"15.50000","-0.33594","-12.89693"
"15.55000","-0.33703","-12.95396"
"15.60000","-0.33813","-12.99261"
"15.65000","-0.33922","-13.01691"
"15.70000","-0.34031","-13.06379"
"15.75000","-0.34141","-13.10393"
"15.80000","-0.34250","-13.17709"
"15.85000","-0.34344","-13.17329"
"15.90000","-0.34453","-13.22284"
"15.95000","-0.34547","-13.28043"
"16.00000","-0.34641","-13.31784"
"16.05000","-0.34766","-13.37250"
"16.10000","-0.34875","-13.38191"
"16.15000","-0.34984","-13.45333"
"16.20000","-0.35094","-13.48718"
"16.25000","-0.35188","-13.53842"
"16.30000","-0.35297","-13.54654"
"16.35000","-0.35422","-13.61669"
"16.40000","-0.35531","-13.67135"
"16.45000","-0.35641","-13.72805"
"16.50000","-0.35750","-13.74967"
"16.55000","-0.35875","-13.81924"
"16.60000","-0.35984","-13.85776"
"16.65000","-0.36078","-13.89648"
"16.70000","-0.36203","-13.92959"
"16.75000","-0.36313","-13.93631"
"16.80000","-0.36422","-13.99158"
"16.85000","-0.36531","-14.04233"
"16.90000","-0.36641","-14.11012"
"16.95000","-0.36734","-14.13393"
"17.00000","-0.36844","-14.19523"
"17.05000","-0.36953","-14.22538"
"17.10000","-0.37062","-14.25030"
"17.15000","-0.37172","-14.31213"
"17.20000","-0.37281","-14.34098"
"17.25000","-0.37391","-14.38783"
"17.30000","-0.37500","-14.43020"
"17.35000","-0.37594","-14.46420"
"17.40000","-0.37688","-14.52627"
"17.45000","-0.37797","-14.52114"
"17.50000","-0.37906","-14.62228"
"17.55000","-0.38016","-14.67255"
"17.60000","-0.38125","-14.67509"
"17.65000","-0.38219","-14.72551"
"17.70000","-0.38328","-14.77104"
"17.75000","-0.38453","-14.82165"
"17.80000","-0.38562","-14.85017"
"17.85000","-0.38672","-14.85865"
"17.90000","-0.38781","-14.92626"
"17.95000","-0.38891","-14.97348"
"18.00000","-0.39000","-15.05783"
"18.05000","-0.39109","-15.08206"
"18.10000","-0.39219","-15.10810"
"18.15000","-0.39328","-15.16124"
"18.20000","-0.39438","-15.19956"
"18.25000","-0.39547","-15.22720"
"18.30000","-0.39656","-15.28418"
"18.35000","-0.39766","-15.30355"
"18.40000","-0.39875","-15.34881"
"18.45000","-0.39984","-15.39192"
"18.50000","-0.40094","-15.43808"
"18.55000","-0.40203","-15.51772"
"18.60000","-0.40313","-15.54079"
"18.65000","-0.40422","-15.54870"
"18.70000","-0.40531","-15.61168"
"18.75000","-0.40625","-15.65236"
"18.80000","-0.40734","-15.68159"
"18.85000","-0.40859","-15.72705"
"18.90000","-0.40969","-15.77685"
"18.95000","-0.41063","-15.83043"
"19.00000","-0.41172","-15.85340"
"19.05000","-0.41281","-15.90743"
"19.10000","-0.41375","-15.91549"
"19.15000","-0.41484","-15.97156"
"19.20000","-0.41594","-15.99089"
"19.25000","-0.41703","-16.02071"
"19.30000","-0.41813","-16.09873"
"19.35000","-0.41906","-16.17658"
"19.40000","-0.42016","-16.15670"
"19.45000","-0.42125","-16.21378"
"19.50000","-0.42234","-16.25316"
"19.55000","-0.42344","-16.31718"
"19.60000","-0.42469","-16.34673"
"19.65000","-0.42578","-16.38113"
"19.70000","-0.42672","-16.39900"
"19.75000","-0.42781","-16.44763"
"19.80000","-0.42891","-16.51559"
"19.85000","-0.43016","-16.51270"
"19.90000","-0.43125","-16.58022"
"19.95000","-0.43234","-16.64366"
"20.00000","-0.43344","-16.66787"
"20.05000","-0.43453","-16.71820"
"20.10000","-0.43547","-16.70487"
"20.15000","-0.43656","-16.78238"
"20.20000","-0.43781","-16.84094"
"20.25000","-0.43891","-16.84393"
"20.30000","-0.44000","-16.93105"
"20.35000","-0.44109","-16.95467"
"20.40000","-0.44219","-16.96889"
"20.45000","-0.44328","-17.03115"
"20.50000","-0.44422","-17.07814"
"20.55000","-0.44547","-17.14805"
"20.60000","-0.44656","-17.16148"
"20.65000","-0.44750","-17.20096"
"20.70000","-0.44859","-17.26396"
"20.75000","-0.44969","-17.28298"
"20.80000","-0.45062","-17.33389"
"20.85000","-0.45172","-17.36189"
"20.90000","-0.45281","-17.37174"
"20.95000","-0.45391","-17.47114"
"21.00000","-0.45500","-17.51428"
"21.05000","-0.45609","-17.54596"
"21.10000","-0.45719","-17.54317"
"21.15000","-0.45812","-17.63400"
"21.20000","-0.45938","-17.69518"
"21.25000","-0.46047","-17.72484"
"21.30000","-0.46156","-17.77496"
"21.35000","-0.46266","-17.79669"
"21.40000","-0.46375","-17.86110"
"21.45000","-0.46484","-17.88227"
"21.50000","-0.46578","-17.89160"
"21.55000","-0.46688","-17.97983"
"21.60000","-0.46797","-18.03867"
"21.65000","-0.46922","-18.07947"
"21.70000","-0.47031","-18.11250"
"21.75000","-0.47125","-18.15821"
"21.80000","-0.47234","-18.20470"
"21.85000","-0.47344","-18.23378"
"21.90000","-0.47469","-18.25288"
"21.95000","-0.47578","-18.32738"
"22.00000","-0.47687","-18.39242"
"22.05000","-0.47797","-18.41870"
"22.10000","-0.47906","-18.44419"
"22.15000","-0.48000","-18.54708"
"22.20000","-0.48109","-18.55315"
"22.25000","-0.48219","-18.58669"
"22.30000","-0.48328","-18.67216"
"22.35000","-0.48422","-18.66908"
"22.40000","-0.48531","-18.76606"
"22.45000","-0.48625","-18.77420"
"22.50000","-0.48734","-18.80691"
"22.55000","-0.48844","-18.88368"
"22.60000","-0.48953","-18.90543"
"22.65000","-0.49063","-18.94649"
"22.70000","-0.49172","-19.01701"
"22.75000","-0.49281","-19.03516"
"22.80000","-0.49391","-19.09401"
"22.85000","-0.49500","-19.11242"
"22.90000","-0.49594","-19.14670"
"22.95000","-0.49719","-19.24222"
"23.00000","-0.49828","-19.27328"
"23.05000","-0.49937","-19.30616"
"23.10000","-0.50047","-19.35731"
"23.15000","-0.50156","-19.39686"
"23.20000","-0.50266","-19.43176"
"23.25000","-0.50375","-19.49114"
"23.30000","-0.50500","-19.53305"
